2	0.1	2	0	1	0	0	0
6	0.6	6	0	1	0	0	0
8	0.2	8	0	1	0	0	0
8	0.2	8	0	1	0	0	0
15	0.5	15	0	1	0	0	0
17	0.2	17	0	1	0	0	0
18	0.2	18	0	1	0	0	0
19	0.1	19	0	1	0	0	0
24	0.1	24	0	1	0	0	0
25	1.5	25	0	1	0	0	0
1	0	1	0	1	0	0	0
4	0.1	4	0	1	0	0	0
4	0	4	0	1	0	0	0
10	0.6	10	0	1	0	0	0
12	0.2	12	0	1	0	0	0
17	1.4	17	0	1	0	0	0
19	0.7	19	0	1	0	0	0
19	0.2	19	0	1	0	0	0
28	0.6	28	0	1	0	0	0
28	0.6	28	0	1	0	0	0
3	0.1	3	0	1	0	0	0
6	0.2	6	0	1	0	0	0
23	0.9	23	0	1	0	0	0
24	0.6	24	0	1	0	0	0
26	0.4	26	0	1	0	0	0
26	0.3	26	0	1	0	0	0
27	0.7	27	0	1	0	0	0
27	0.4	27	0	1	0	0	0
27	0.1	27	0	1	0	0	0
29	2.3	29	0	1	0	0	0
3	0.2	3	0	1	0	0	0
5	0.2	5	0	1	0	0	0
6	0.1	6	0	1	0	0	0
11	0.3	11	0	1	0	0	0
19	1.6	19	0	1	0	0	0
19	1.1	19	0	1	0	0	0
23	0.6	23	0	1	0	0	0
24	0.7	24	0	1	0	0	0
26	0.3	26	0	1	0	0	0
28	1.3	28	0	1	0	0	0
2	0.2	2	0	1	0	0	0
5	0	5	0	1	0	0	0
5	0	5	0	1	0	0	0
6	0.3	6	0	1	0	0	0
13	1.4	13	0	1	0	0	0
14	0.4	14	0	1	0	0	0
17	0.8	17	0	1	0	0	0
17	0	17	0	1	0	0	0
26	0.3	26	0	1	0	0	0
28	0.4	28	0	1	0	0	0
3	0.1	3	0	1	0	0	0
5	0.2	5	0	1	0	0	0
9	1	9	0	1	0	0	0
11	0.4	11	0	1	0	0	0
11	0	11	0	1	0	0	0
14	1.7	14	0	1	0	0	0
14	0.2	14	0	1	0	0	0
15	0.1	15	0	1	0	0	0
21	0.7	21	0	1	0	0	0
22	0.1	22	0	1	0	0	0
2	0	2	0	1	0	0	0
4	0.1	4	0	1	0	0	0
4	0.1	4	0	1	0	0	0
5	0.8	5	0	1	0	0	0
7	0.1	7	0	1	0	0	0
9	0.2	9	0	1	0	0	0
10	1.7	10	0	1	0	0	0
22	0.4	22	0	1	0	0	0
25	0.1	25	0	1	0	0	0
30	0.7	30	0	1	0	0	0
2	0	2	0	1	0	0	0
3	0.1	3	0	1	0	0	0
10	1.4	10	0	1	0	0	0
10	0.1	10	0	1	0	0	0
12	0.6	12	0	1	0	0	0
13	0.1	13	0	1	0	0	0
18	0.1	18	0	1	0	0	0
24	3	24	0	1	0	0	0
28	2.4	28	0	1	0	0	0
30	0.8	30	0	1	0	0	0
1	0.2	1	0	1	0	0	0
2	0.1	2	0	1	0	0	0
3	0.1	3	0	1	0	0	0
9	0.2	9	0	1	0	0	0
14	0.6	14	0	1	0	0	0
16	0.4	16	0	1	0	0	0
24	0	24	0	1	0	0	0
25	0.7	25	0	1	0	0	0
28	1.7	28	0	1	0	0	0
29	0.5	29	0	1	0	0	0
1	0.1	1	0	1	0	0	0
3	0.2	3	0	1	0	0	0
4	0.2	4	0	1	0	0	0
4	0.1	4	0	1	0	0	0
4	0.1	4	0	1	0	0	0
6	0	6	0	1	0	0	0
20	1.6	20	0	1	0	0	0
20	0.7	20	0	1	0	0	0
29	1.9	29	0	1	0	0	0
30	4.6	30	0	1	0	0	0
9	0.2	9	0	1	0	0	0
13	0.1	13	0	1	0	0	0
15	0.5	15	0	1	0	0	0
20	1.1	20	0	1	0	0	0
22	1.1	22	0	1	0	0	0
22	0.7	22	0	1	0	0	0
24	1.5	24	0	1	0	0	0
29	3.3	29	0	1	0	0	0
29	1.2	29	0	1	0	0	0
30	5.4	30	0	1	0	0	0
5	0.5	5	0	1	0	0	0
5	0.2	5	0	1	0	0	0
5	0	5	0	1	0	0	0
11	0.9	11	0	1	0	0	0
16	1	16	0	1	0	0	0
19	1.3	19	0	1	0	0	0
20	1.3	20	0	1	0	0	0
24	1	24	0	1	0	0	0
26	1.8	26	0	1	0	0	0
26	1.8	26	0	1	0	0	0
3	0.1	3	0	1	0	0	0
6	0.1	6	0	1	0	0	0
7	0.2	7	0	1	0	0	0
13	2.3	13	0	1	0	0	0
14	0.6	14	0	1	0	0	0
16	1.2	16	0	1	0	0	0
17	0.3	17	0	1	0	0	0
18	0.8	18	0	1	0	0	0
22	4.9	22	0	1	0	0	0
26	0.7	26	0	1	0	0	0
9	0.9	9	0	1	0	0	0
10	1.3	10	0	1	0	0	0
11	0.6	11	0	1	0	0	0
11	0.1	11	0	1	0	0	0
12	1	12	0	1	0	0	0
12	0.1	12	0	1	0	0	0
17	0.1	17	0	1	0	0	0
19	4.1	19	0	1	0	0	0
20	1.4	20	0	1	0	0	0
30	0.7	30	0	1	0	0	0
7	1	7	0	1	0	0	0
10	0.3	10	0	1	0	0	0
13	0.1	13	0	1	0	0	0
14	0.1	14	0	1	0	0	0
16	3	16	0	1	0	0	0
22	1.4	22	0	1	0	0	0
24	0.7	24	0	1	0	0	0
27	0.8	27	0	1	0	0	0
28	2.1	28	0	1	0	0	0
30	3.9	30	0	1	0	0	0
3	0.2	3	0	1	0	0	0
4	0	4	0	1	0	0	0
9	1.1	9	0	1	0	0	0
15	2.3	15	0	1	0	0	0
18	0.8	18	0	1	0	0	0
19	4.6	19	0	1	0	0	0
20	0.3	20	0	1	0	0	0
22	1	22	0	1	0	0	0
25	0.8	25	0	1	0	0	0
28	1.3	28	0	1	0	0	0
7	1	7	0	1	0	0	0
8	0.2	8	0	1	0	0	0
9	0.2	9	0	1	0	0	0
9	0.1	9	0	1	0	0	0
17	1.2	17	0	1	0	0	0
22	1.2	22	0	1	0	0	0
23	3.5	23	0	1	0	0	0
23	1.6	23	0	1	0	0	0
29	3.9	29	0	1	0	0	0
29	3.6	29	0	1	0	0	0
5	0.5	5	0	1	0	0	0
6	1	6	0	1	0	0	0
8	0.7	8	0	1	0	0	0
8	0.3	8	0	1	0	0	0
8	0.2	8	0	1	0	0	0
9	0.8	9	0	1	0	0	0
9	0.1	9	0	1	0	0	0
11	1.7	11	0	1	0	0	0
13	0.6	13	0	1	0	0	0
29	2.4	29	0	1	0	0	0
1	0.1	1	0	1	0	0	0
7	0.5	7	0	1	0	0	0
9	0.6	9	0	1	0	0	0
17	1	17	0	1	0	0	0
17	0.7	17	0	1	0	0	0
